,,,Healthy.T2.004,Healthy.T2.010,Healthy.T3.014,Healthy.T3.015,Healthy.T3.017,Healthy.T3.019,Healthy.T2.033,Unhealthy.T2.012,Unhealthy.T3.018,Unhealthy.T3.022,Unhealthy.T3.044,Unhealthy.T3.051,Unhealthy.T3.052,Unhealthy.T3.053,AVEUNHEALTHY
FamilyXIII;g,Eubacterium;s,sp31674,0,0,0,0,0,0,0,0,0,0,0.000404979947,0,0,0,0.00005785427814
FamilyXIII;g,NA;s,sp31520-sp31530-sp31546,0,0,0,0,0,0,0,0,0,0,0,0.0003468229195,0,0,0.00004954613136
FamilyXIII;g,NA;s,sp31533,0,0.0001561966125,0.0002856326764,0,0.0004503963488,0,0,0,0,0,0.0008622153709,0.0003468229195,0,0,0.0001727197558
FamilyXIII;g,NA;s,sp31552,0,0,0,0,0.000480422772,0,0,0,0,0,0.0006270657243,0.0004380921089,0,0,0.0001521654047
FamilyXIII;g,NA;s,sp31561,0,0,0,0,0,0,0,0,0,0,0.0002090219081,0.0002555537302,0,0,0.00006636794833
FamilyXIII;g,NA;s,sp31562,0,0,0,0,0.000360317079,0,0,0,0,0.0002781071152,0,0,0,0,0.00003972958788
FamilyXIII;g,NA;s,sp31622,0,0,0,0,0,0,0.0002128905211,0,0,0,0,0,0,0,0
FamilyXIII;g,NA;s,sp31629,0,0,0,0,0,0,0.0001703124168,0,0,0,0,0,0,0,0
Lachnospiraceae;g,Anaerostipes;s,caccae,0.03742985681,0,0,0,0,0,0.0003406248337,0.008416329495,0,0,0,0,0.0007166853303,0.0009068695367,0.001434269195
Lachnospiraceae;g,Anaerostipes;s,hadrus,0,0.006013569581,0.02632214972,0.03560571266,0.00480422772,0.03849258551,0.05172175209,0,0.02844821823,0.01705235732,0.01103896952,0.006115035686,0.04147816349,0,0.01487610632
Lachnospiraceae;g,Blautia-Lachnoclostridium;s,sp31973-sp32345,0,0,0,0,0,0.001031451806,0.001138964288,0,0,0,0,0,0,0,0
Lachnospiraceae;g,Blautia-Lachnoclostridium;s,sp32052-sp32410,0,0.004051349636,0,0.002121470595,0,0,0.0004790036724,0,0.002808049743,0.00360075528,0.002573582244,0.002865852546,0,0,0.001692605687
Lachnospiraceae;g,Blautia;s,coccoides-producta,0.04568982198,0,0,0,0,0,0.00121347597,0,0,0,0,0,0,0,0
Lachnospiraceae;g,Blautia;s,hansenii-producta,0.116316757,0.0008395567921,0.02452046668,0.0006561249262,0,0.0005232001913,0,0.01060794688,0.000668583272,0.007142961694,0.001776686219,0.000419838271,0.00470324748,0.01274655516,0.005437974139
Lachnospiraceae;g,Blautia;s,hydrogenotrophica,0,0,0,0,0,0,0,0,0,0,0.0004964270318,0,0,0,0.00007091814739
Lachnospiraceae;g,Blautia;s,sp31989,0,0,0.001384219893,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospiraceae;g,Blautia;s,sp32002,0,0.003524186069,0,0,0.001891664665,0,0.0001596678908,0,0,0.003264099299,0.002312304858,0.0002372998923,0,0,0.0008305291499
